subj,phase,trial,stim,stim_type,f1,f2,c,resp,corr,rt,f1_is,e_is
x101,learn,1,L6,learn,0.62,-1.07384,0,0,1,1.370805,angle,0
x101,learn,2,L8,learn,1.84,0,0,1,0,2.21462,angle,0
x101,learn,3,L7,learn,-0.10352,0.38636,1,0,0,0.900175,angle,0
x101,learn,4,L25,learn,-1.07384,-0.62,0,0,1,0.765445,angle,0
x101,learn,5,L18,learn,-0.38636,0.10352,1,1,1,1.434245,angle,0
x101,learn,6,L28,learn,-0.64,0,1,1,1,1.10233,angle,0
x101,learn,7,L30,learn,0,-1.84,0,0,1,0.669275,angle,0
x101,learn,8,L23,learn,1.301064,1.301064,0,1,0,0.796505,angle,0
x101,learn,9,L3,learn,0.62,1.07384,0,1,0,1.20357,angle,0
x101,learn,10,L17,learn,-0.452544,-0.452544,1,0,0,1.806235,angle,0
x101,learn,11,L16,learn,0,0.64,1,1,1,4.337,angle,0
x101,learn,12,L22,learn,1.07384,-0.62,0,0,1,1.50364,angle,0
x101,learn,13,L31,learn,0.38636,-0.10352,1,1,1,1.086865,angle,0
x101,learn,14,L20,learn,0.10352,0.38636,1,1,1,1.921065,angle,0
x101,learn,15,L13,learn,-0.62,-1.07384,0,0,1,0.9167,angle,0
x101,learn,16,L29,learn,-1.84,0,0,1,0,0.86797,angle,0
x101,learn,17,L12,learn,0.452544,-0.452544,1,1,1,2.4585,angle,0
x101,learn,18,L14,learn,0.38636,0.10352,1,1,1,1.11953,angle,0
x101,learn,19,L5,learn,1.07384,0.62,0,1,0,1.23484,angle,0
x101,learn,20,L24,learn,-0.62,1.07384,0,1,0,3.212765,angle,0
x101,learn,21,L32,learn,0.10352,-0.38636,1,0,0,1.569215,angle,0
x101,learn,22,L10,learn,0,1.84,0,1,0,4.6128,angle,0
x101,learn,23,L15,learn,-1.301064,1.301064,0,1,0,3.414205,angle,0
x101,learn,24,L9,learn,0,-0.64,1,0,0,0.75396,angle,0
x101,learn,25,L26,learn,-1.07384,0.62,0,0,1,4.380015,angle,0
x101,learn,26,L4,learn,-0.452544,0.452544,1,0,0,1.13727,angle,0
x101,learn,27,L11,learn,0.64,0,1,0,0,1.352555,angle,0
x101,learn,28,L1,learn,-0.38636,-0.10352,1,1,1,1.457495,angle,0
x101,learn,29,L19,learn,-0.10352,-0.38636,1,1,1,1.332875,angle,0
x101,learn,30,L2,learn,0.452544,0.452544,1,1,1,1.903965,angle,0
x101,learn,31,L27,learn,1.301064,-1.301064,0,0,1,0.816485,angle,0
x101,learn,32,L21,learn,-1.301064,-1.301064,0,0,1,0.617545,angle,0
x101,learn,33,L29,learn,-1.84,0,0,1,0,0.955615,angle,0
x101,learn,34,L27,learn,1.301064,-1.301064,0,0,1,1.889315,angle,0
x101,learn,35,L28,learn,-0.64,0,1,1,1,1.24969,angle,0
x101,learn,36,L4,learn,-0.452544,0.452544,1,1,1,0.950245,angle,0
x101,learn,37,L20,learn,0.10352,0.38636,1,1,1,1.038065,angle,0
x101,learn,38,L30,learn,0,-1.84,0,0,1,0.668605,angle,0
x101,learn,39,L17,learn,-0.452544,-0.452544,1,1,1,1.95896,angle,0
x101,learn,40,L32,learn,0.10352,-0.38636,1,1,1,0.87278,angle,0
x101,learn,41,L9,learn,0,-0.64,1,1,1,0.834375,angle,0
x101,learn,42,L13,learn,-0.62,-1.07384,0,0,1,1.15414,angle,0
x101,learn,43,L1,learn,-0.38636,-0.10352,1,1,1,0.70152,angle,0
x101,learn,44,L18,learn,-0.38636,0.10352,1,1,1,1.054365,angle,0
x101,learn,45,L5,learn,1.07384,0.62,0,0,1,2.638515,angle,0
x101,learn,46,L21,learn,-1.301064,-1.301064,0,0,1,0.70109,angle,0
x101,learn,47,L26,learn,-1.07384,0.62,0,0,1,0.879195,angle,0
x101,learn,48,L19,learn,-0.10352,-0.38636,1,1,1,0.78682,angle,0
x101,learn,49,L8,learn,1.84,0,0,1,0,0.90632,angle,0
x101,learn,50,L23,learn,1.301064,1.301064,0,0,1,1.063975,angle,0
