stim,c,phase
stimuli/1.png,1,train
stimuli/2.png,1,train
stimuli/3.png,0,train
stimuli/4.png,1,train
stimuli/5.png,0,train
stimuli/6.png,0,train
stimuli/7.png,1,train
stimuli/8.png,0,train
stimuli/9.png,1,train
stimuli/10.png,0,train
stimuli/11.png,1,train
stimuli/12.png,1,train
stimuli/13.png,0,train
stimuli/14.png,1,train
stimuli/15.png,0,train
stimuli/16.png,1,train
stimuli/17.png,1,train
stimuli/18.png,1,train
stimuli/19.png,1,train
stimuli/20.png,1,train
stimuli/21.png,0,train
stimuli/22.png,0,train
stimuli/23.png,0,train
stimuli/24.png,0,train
stimuli/25.png,0,train
stimuli/26.png,0,train
stimuli/27.png,0,train
stimuli/28.png,1,train
stimuli/29.png,0,train
stimuli/30.png,0,train
stimuli/31.png,1,train
stimuli/32.png,1,train
