f1,f2,c,id,stim_type,stim
-0.38636,-0.10352,1,1,learn,L1
0.452544,0.452544,1,2,learn,L2
0.62,1.07384,0,3,learn,L3
-0.452544,0.452544,1,4,learn,L4
1.07384,0.62,0,5,learn,L5
0.62,-1.07384,0,6,learn,L6
-0.10352,0.38636,1,7,learn,L7
1.84,0,0,8,learn,L8
0,-0.64,1,9,learn,L9
0,1.84,0,10,learn,L10
0.64,0,1,11,learn,L11
0.452544,-0.452544,1,12,learn,L12
-0.62,-1.07384,0,13,learn,L13
0.38636,0.10352,1,14,learn,L14
-1.301064,1.301064,0,15,learn,L15
0,0.64,1,16,learn,L16
-0.452544,-0.452544,1,17,learn,L17
-0.38636,0.10352,1,18,learn,L18
-0.10352,-0.38636,1,19,learn,L19
0.10352,0.38636,1,20,learn,L20
-1.301064,-1.301064,0,21,learn,L21
1.07384,-0.62,0,22,learn,L22
1.301064,1.301064,0,23,learn,L23
-0.62,1.07384,0,24,learn,L24
-1.07384,-0.62,0,25,learn,L25
-1.07384,0.62,0,26,learn,L26
1.301064,-1.301064,0,27,learn,L27
-0.64,0,1,28,learn,L28
-1.84,0,0,29,learn,L29
0,-1.84,0,30,learn,L30
0.38636,-0.10352,1,31,learn,L31
0.10352,-0.38636,1,32,learn,L32
-0.3067,-0.7667,,33,transfer,T1
0.3067,-0.7667,,34,transfer,T2
-0.7667,-0.3067,,35,transfer,T3
0.7667,-0.3067,,36,transfer,T4
-0.7667,0.3067,,37,transfer,T5
0.7667,0.3067,,38,transfer,T6
-0.3067,0.7667,,39,transfer,T7
0.3067,0.7667,,40,transfer,T8
0,-1.5333,,41,far,F1
0,-1.0733,,42,close,F2
-0.7667,-0.7667,,43,corner,F3
0.7667,-0.7667,,44,corner,F4
-1.5333,0,,45,far,F5
-1.0733,0,,46,close,F6
1.0733,0,,47,close,F7
1.5333,0,,48,far,F8
-0.7667,0.7667,,49,corner,F9
0.7667,0.7667,,50,corner,F10
0,1.0733,,51,close,F11
0,1.5333,,52,far,F12
